"Notes"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Apr., 1999"	"1999/04"	"65-69 years"	"65-69"	"Female"	"F"	14	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"65-69 years"	"65-69"	"Male"	"M"	9	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"65-69 years"	"65-69"			23	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"70-74 years"	"70-74"	"Female"	"F"	7	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"70-74 years"	"70-74"	"Male"	"M"	7	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"70-74 years"	"70-74"			14	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"75-79 years"	"75-79"	"Female"	"F"	5	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"75-79 years"	"75-79"	"Male"	"M"	5	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"75-79 years"	"75-79"			10	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"80-84 years"	"80-84"	"Female"	"F"	8	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"80-84 years"	"80-84"	"Male"	"M"	6	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"80-84 years"	"80-84"			14	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"85-89 years"	"85-89"	"Female"	"F"	8	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"85-89 years"	"85-89"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"85-89 years"	"85-89"			12	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"90-94 years"	"90-94"	"Female"	"F"	3	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"90-94 years"	"90-94"	"Male"	"M"	5	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"90-94 years"	"90-94"			8	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"95-99 years"	"95-99"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"95-99 years"	"95-99"			0	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Not Stated"	"NS"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Not Stated"	"NS"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"	"Not Stated"	"NS"			0	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"					1438	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"< 1 year"	"1"	"Female"	"F"	0	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"< 1 year"	"1"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"< 1 year"	"1"			0	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"1-4 years"	"1-4"	"Female"	"F"	2	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"1-4 years"	"1-4"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"1-4 years"	"1-4"			2	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"5-9 years"	"5-9"			0	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"10-14 years"	"10-14"	"Female"	"F"	2	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"10-14 years"	"10-14"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"10-14 years"	"10-14"			2	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"15-19 years"	"15-19"	"Female"	"F"	12	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"15-19 years"	"15-19"	"Male"	"M"	17	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"15-19 years"	"15-19"			29	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"20-24 years"	"20-24"	"Female"	"F"	18	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"20-24 years"	"20-24"	"Male"	"M"	54	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"20-24 years"	"20-24"			72	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"25-29 years"	"25-29"	"Female"	"F"	25	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"25-29 years"	"25-29"	"Male"	"M"	84	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"25-29 years"	"25-29"			109	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"30-34 years"	"30-34"	"Female"	"F"	60	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"30-34 years"	"30-34"	"Male"	"M"	115	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"30-34 years"	"30-34"			175	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"35-39 years"	"35-39"	"Female"	"F"	68	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"35-39 years"	"35-39"	"Male"	"M"	156	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"35-39 years"	"35-39"			224	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"40-44 years"	"40-44"	"Female"	"F"	85	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"40-44 years"	"40-44"	"Male"	"M"	192	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"40-44 years"	"40-44"			277	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"45-49 years"	"45-49"	"Female"	"F"	73	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"45-49 years"	"45-49"	"Male"	"M"	151	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"45-49 years"	"45-49"			224	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"50-54 years"	"50-54"	"Female"	"F"	42	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"50-54 years"	"50-54"	"Male"	"M"	75	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"50-54 years"	"50-54"			117	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"55-59 years"	"55-59"	"Female"	"F"	19	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"55-59 years"	"55-59"	"Male"	"M"	25	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"55-59 years"	"55-59"			44	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"60-64 years "	"60-64"	"Female"	"F"	12	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"60-64 years "	"60-64"	"Male"	"M"	16	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"60-64 years "	"60-64"			28	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"65-69 years"	"65-69"	"Female"	"F"	5	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"65-69 years"	"65-69"	"Male"	"M"	12	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"65-69 years"	"65-69"			17	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"70-74 years"	"70-74"	"Female"	"F"	9	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"70-74 years"	"70-74"	"Male"	"M"	11	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"70-74 years"	"70-74"			20	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"75-79 years"	"75-79"	"Female"	"F"	7	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"75-79 years"	"75-79"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"75-79 years"	"75-79"			11	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"80-84 years"	"80-84"	"Female"	"F"	3	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"80-84 years"	"80-84"	"Male"	"M"	7	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"80-84 years"	"80-84"			10	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"85-89 years"	"85-89"	"Female"	"F"	4	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"85-89 years"	"85-89"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"85-89 years"	"85-89"			8	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"90-94 years"	"90-94"	"Female"	"F"	2	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"90-94 years"	"90-94"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"90-94 years"	"90-94"			2	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"95-99 years"	"95-99"	"Female"	"F"	1	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"95-99 years"	"95-99"			1	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Not Stated"	"NS"	"Female"	"F"	0	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Not Stated"	"NS"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"	"Not Stated"	"NS"			0	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"					1372	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"< 1 year"	"1"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"< 1 year"	"1"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"< 1 year"	"1"			3	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"1-4 years"	"1-4"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"1-4 years"	"1-4"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"1-4 years"	"1-4"			1	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"5-9 years"	"5-9"			0	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"10-14 years"	"10-14"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"10-14 years"	"10-14"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"10-14 years"	"10-14"			2	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"15-19 years"	"15-19"	"Female"	"F"	10	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"15-19 years"	"15-19"	"Male"	"M"	17	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"15-19 years"	"15-19"			27	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"20-24 years"	"20-24"	"Female"	"F"	19	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"20-24 years"	"20-24"	"Male"	"M"	45	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"20-24 years"	"20-24"			64	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"25-29 years"	"25-29"	"Female"	"F"	29	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"25-29 years"	"25-29"	"Male"	"M"	82	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"25-29 years"	"25-29"			111	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"30-34 years"	"30-34"	"Female"	"F"	47	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"30-34 years"	"30-34"	"Male"	"M"	110	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"30-34 years"	"30-34"			157	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"35-39 years"	"35-39"	"Female"	"F"	66	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"35-39 years"	"35-39"	"Male"	"M"	176	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"35-39 years"	"35-39"			242	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"40-44 years"	"40-44"	"Female"	"F"	66	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"40-44 years"	"40-44"	"Male"	"M"	184	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"40-44 years"	"40-44"			250	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"45-49 years"	"45-49"	"Female"	"F"	60	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"45-49 years"	"45-49"	"Male"	"M"	152	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"45-49 years"	"45-49"			212	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"50-54 years"	"50-54"	"Female"	"F"	40	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"50-54 years"	"50-54"	"Male"	"M"	62	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"50-54 years"	"50-54"			102	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"55-59 years"	"55-59"	"Female"	"F"	30	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"55-59 years"	"55-59"	"Male"	"M"	26	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"55-59 years"	"55-59"			56	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"60-64 years "	"60-64"	"Female"	"F"	15	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"60-64 years "	"60-64"	"Male"	"M"	15	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"60-64 years "	"60-64"			30	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"65-69 years"	"65-69"	"Female"	"F"	6	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"65-69 years"	"65-69"	"Male"	"M"	11	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"65-69 years"	"65-69"			17	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"70-74 years"	"70-74"	"Female"	"F"	6	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"70-74 years"	"70-74"	"Male"	"M"	7	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"70-74 years"	"70-74"			13	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"75-79 years"	"75-79"	"Female"	"F"	8	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"75-79 years"	"75-79"	"Male"	"M"	5	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"75-79 years"	"75-79"			13	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"80-84 years"	"80-84"	"Female"	"F"	7	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"80-84 years"	"80-84"	"Male"	"M"	6	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"80-84 years"	"80-84"			13	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"85-89 years"	"85-89"	"Female"	"F"	4	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"85-89 years"	"85-89"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"85-89 years"	"85-89"			5	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"90-94 years"	"90-94"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"90-94 years"	"90-94"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"90-94 years"	"90-94"			1	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"95-99 years"	"95-99"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"95-99 years"	"95-99"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"95-99 years"	"95-99"			3	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Not Stated"	"NS"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Not Stated"	"NS"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"	"Not Stated"	"NS"			4	Not Applicable	Not Applicable
"Total"	"Jun., 1999"	"1999/06"					1326	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"< 1 year"	"1"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"< 1 year"	"1"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"< 1 year"	"1"			1	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"1-4 years"	"1-4"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"1-4 years"	"1-4"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"1-4 years"	"1-4"			1	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"5-9 years"	"5-9"			0	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"10-14 years"	"10-14"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"10-14 years"	"10-14"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"10-14 years"	"10-14"			0	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"15-19 years"	"15-19"	"Female"	"F"	9	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"15-19 years"	"15-19"	"Male"	"M"	15	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"15-19 years"	"15-19"			24	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"20-24 years"	"20-24"	"Female"	"F"	20	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"20-24 years"	"20-24"	"Male"	"M"	61	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"20-24 years"	"20-24"			81	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"25-29 years"	"25-29"	"Female"	"F"	28	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"25-29 years"	"25-29"	"Male"	"M"	85	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"25-29 years"	"25-29"			113	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"30-34 years"	"30-34"	"Female"	"F"	55	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"30-34 years"	"30-34"	"Male"	"M"	131	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"30-34 years"	"30-34"			186	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"35-39 years"	"35-39"	"Female"	"F"	73	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"35-39 years"	"35-39"	"Male"	"M"	184	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"35-39 years"	"35-39"			257	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"40-44 years"	"40-44"	"Female"	"F"	96	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"40-44 years"	"40-44"	"Male"	"M"	225	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"40-44 years"	"40-44"			321	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"45-49 years"	"45-49"	"Female"	"F"	63	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"45-49 years"	"45-49"	"Male"	"M"	177	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"45-49 years"	"45-49"			240	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"50-54 years"	"50-54"	"Female"	"F"	54	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"50-54 years"	"50-54"	"Male"	"M"	80	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"50-54 years"	"50-54"			134	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"55-59 years"	"55-59"	"Female"	"F"	28	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"55-59 years"	"55-59"	"Male"	"M"	43	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"55-59 years"	"55-59"			71	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"60-64 years "	"60-64"	"Female"	"F"	16	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"60-64 years "	"60-64"	"Male"	"M"	13	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"60-64 years "	"60-64"			29	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"65-69 years"	"65-69"	"Female"	"F"	7	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"65-69 years"	"65-69"	"Male"	"M"	11	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"65-69 years"	"65-69"			18	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"70-74 years"	"70-74"	"Female"	"F"	10	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"70-74 years"	"70-74"	"Male"	"M"	6	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"70-74 years"	"70-74"			16	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"75-79 years"	"75-79"	"Female"	"F"	6	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"75-79 years"	"75-79"	"Male"	"M"	5	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"75-79 years"	"75-79"			11	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"80-84 years"	"80-84"	"Female"	"F"	7	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"80-84 years"	"80-84"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"80-84 years"	"80-84"			9	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"85-89 years"	"85-89"	"Female"	"F"	4	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"85-89 years"	"85-89"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"85-89 years"	"85-89"			5	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"90-94 years"	"90-94"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"90-94 years"	"90-94"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"90-94 years"	"90-94"			2	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"95-99 years"	"95-99"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"95-99 years"	"95-99"			1	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"Not Stated"	"NS"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	"Not Stated"	"NS"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"	"Not Stated"	"NS"			1	Not Applicable	Not Applicable
"Total"	"Jul., 1999"	"1999/07"					1521	Not Applicable	Not Applicable
	"Aug., 1999"	"1999/08"	"< 1 year"	"1"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Aug., 1999"	"1999/08"	"< 1 year"	"1"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Aug., 1999"	"1999/08"	"< 1 year"	"1"			2	Not Applicable	Not Applicable
	"Aug., 1999"	"1999/08"	"1-4 years"	"1-4"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Aug., 1999"	"1999/08"	"1-4 years"	"1-4"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Aug., 1999"	"1999/08"	"1-4 years"	"1-4"			3	Not Applicable	Not Applicable
	"Aug., 1999"	"1999/08"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Aug., 1999"	"1999/08"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Aug., 1999"	"1999/08"	"5-9 years"	"5-9"			0	Not Applicable	Not Applicable
	"Aug., 1999"	"1999/08"	"10-14 years"	"10-14"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Aug., 1999"	"1999/08"	"10-14 years"	"10-14"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Aug., 1999"	"1999/08"	"10-14 years"	"10-14"			3	Not Applicable	Not Applicable
	"Aug., 1999"	"1999/08"	"15-19 years"	"15-19"	"Female"	"F"	13	Not Applicable	Not Applicable
